Month,hcpi
201901,159.185432098765
201902,160.48
201903,161.717901234568
201904,163.133703703704
201905,164.922345679012
201906,166.292469135802
201907,168.481111111111
201908,170.349012345679
201909,156.53475
201910,157.414875
201911,158.53375
201912,159.36025
202001,161.833
202002,164.261625
202003,155.3105
202004,156.713164556962
202005,175.805189873418
202006,181.85582278481
202007,187.035063291139
202008,194.017341772152
202009,204.752151898734
202010,210.501153846154
202011,220.514210526316
202012,227.430933333333
202101,243.2076
202102,258.474533333333
202103,272.306533333333
202104,295.770133333333
202105,324.589594594595
202106,368.031486486486
202107,400.897945205479
202108,421.976805555556
202109,464.316666666667
202110,482.358028169014
202111,522.83
202112,529.073043478261
202201,543.391029411765
202202,599.849411764706
202203,667.131044776119
202204,178.374090909091
202205,180.770757575758
202206,184.269545454545
202207,186.565846153846
202208,175.026875
202209,172.411746031746
202210,172.085818181818
202211,163.320416666667
202212,138.809189189189
